MET2013,ai_exposure_wtd_avg,perwt_with_score,n_workers,perwt_total_all,perwt_coverage_pct,n_workers_all,n_coverage_pct
31340,-0.20836776689289715,102684.0,4853,112263.0,91.47,5311,91.38
13780,-0.20880952877771158,90238.0,5156,98812.0,91.32,5673,90.89
44140,-0.21056914257877565,235829.0,11628,256932.0,91.79,12728,91.36
12260,-0.21085144090307242,204768.0,8475,229099.0,89.38,9602,88.26
24660,-0.2121810985347725,320936.0,14434,351849.0,91.21,15849,91.07
17660,-0.21354171205025863,59928.0,2318,65221.0,91.88,2512,92.28
43100,-0.2152971781539672,48432.0,2315,51676.0,93.72,2483,93.23
49180,-0.21929065389107003,252792.0,12066,276001.0,91.59,13198,91.42
31180,-0.219829712550833,128024.0,6162,139753.0,91.61,6768,91.05
22380,-0.22297846052995934,59116.0,3415,63714.0,92.78,3695,92.42
20740,-0.2235444391479404,69563.0,2865,75496.0,92.14,3135,91.39
42200,-0.2248660592425582,175429.0,8132,190486.0,92.1,8892,91.45
41100,-0.22523955413702393,59099.0,1965,63848.0,92.56,2136,91.99
21660,-0.22583249087831384,153680.0,7657,167513.0,91.74,8359,91.6
46540,-0.23110469827411373,103312.0,6173,112839.0,91.56,6764,91.26
32820,-0.23264313506152506,506235.0,21690,553608.0,91.44,23704,91.5
29540,-0.23479435620271358,223826.0,8270,246949.0,90.64,9131,90.57
11700,-0.2352125688435464,205597.0,9316,222910.0,92.23,10114,92.11
33740,-0.23629848564073674,57181.0,2499,62559.0,91.4,2745,91.04
34900,-0.23662355207348643,59578.0,3534,64299.0,92.66,3842,91.98
35660,-0.23728064939818397,59303.0,3206,65126.0,91.06,3518,91.13
33660,-0.23918982759045723,150896.0,6310,165604.0,91.12,6909,91.33
39900,-0.2428447673427071,200397.0,9456,217389.0,92.18,10298,91.82
35840,-0.24301065563010715,286814.0,13651,313105.0,91.6,14953,91.29
19660,-0.24428696466875485,233792.0,11216,255280.0,91.58,12322,91.02
17300,-0.24506498688562006,111734.0,5016,136668.0,81.76,6168,81.32
45780,-0.2481326349639135,263811.0,13052,287605.0,91.73,14274,91.44
46700,-0.24841730901518777,181652.0,8445,200860.0,90.44,9335,90.47
39540,-0.25127852332941625,77632.0,2362,84419.0,91.96,2581,91.51
24780,-0.2527074105391167,74298.0,2695,82441.0,90.12,3013,89.45
21340,-0.2567184395551192,318488.0,13387,353810.0,90.02,14942,89.59
38340,-0.25685746629600026,54504.0,3951,59306.0,91.9,4283,92.25
12620,-0.2585260799697209,62929.0,3060,68476.0,91.9,3352,91.29
42540,-0.2595298550381442,200179.0,10635,219171.0,91.33,11621,91.52
33780,-0.25999199663635847,58535.0,2453,64471.0,90.79,2699,90.89
22500,-0.26105244004951195,75423.0,3572,82945.0,90.93,3920,91.12
15500,-0.2614886762923938,66847.0,3876,73025.0,91.54,4248,91.24
43900,-0.2617822497132176,118569.0,5805,129310.0,91.69,6362,91.24
39740,-0.26285479317357946,171948.0,7858,189289.0,90.84,8682,90.51
17020,-0.26304433733739624,84671.0,4004,92417.0,91.62,4383,91.35
24300,-0.26319619591283533,54975.0,2132,59202.0,92.86,2305,92.49
21500,-0.26358893062639555,108782.0,5229,118003.0,92.19,5708,91.61
